ID,airport_name,type,country,lat,long,elevation,service
KE-0124,Jolai Delamere Estates Airport,small_airport,KE,-0.523628,36.187582,,no
KE-0125,Kalama Airport,small_airport,KE,0.694423,37.611987,2934.0,no
KE-0126,Kamburu Airport,small_airport,KE,-0.823913,37.715869,,no
KE-0127,Kamogi Ranch Airstrip,small_airport,KE,0.601404,36.736467,,no
KE-0128,Kanzi Airport,small_airport,KE,-2.753129,37.879328,,no
KE-0129,Kasigau Gate Airport,small_airport,KE,-3.851376,38.515389,,no
KE-0130,Kataboi Airport,small_airport,KE,3.756978,35.833826,,no
KE-0131,Katilu Airport,small_airport,KE,2.284536,35.428834,,no
KE-0132,Kedong Airport,small_airport,KE,-1.299226,36.475135,,no
KE-0133,Kichwa Tembo Airport,small_airport,KE,-1.263497,35.027533,,no
KE-0134,Kifuku Estate Airstrip,small_airport,KE,0.173081,36.583018,6236.0,no
KE-0135,Kijabe Airport,small_airport,KE,-0.957075,36.591668,,no
KE-0136,Kilalinda Airport,small_airport,KE,-2.627593,38.338681,,no
KE-0137,Kimana Airstrip,small_airport,KE,-2.752942,37.525214,3996.0,no
KE-0138,Kipipiri Airport,closed,KE,-0.454084,36.493097,,no
KE-0140,Kisima Ranch Airstrip,small_airport,KE,0.512642,36.694537,6159.0,no
KE-0141,Koka Airport,small_airport,KE,-1.915835,36.006139,,no
KE-0142,Kongoni Game Valley Airport,small_airport,KE,-0.843317,36.259475,,no
KE-0143,Korr Don Bosco Mission Airstrip,small_airport,KE,2.013693,37.517637,,no
KE-0144,Korr AIM Airstrip,small_airport,KE,2.007589,37.492161,,no
KE-0145,Kowop Airstrip,small_airport,KE,2.00616,36.8299,,no
KE-0146,Kuluo Airport,small_airport,KE,-1.12471,35.197795,,no
KE-0148,Manda Point Airstrip,small_airport,KE,-2.228949,40.971447,,no
KE-0149,Langata Enerit Airstrip,small_airport,KE,-1.536513,36.020637,,no
KE-0150,Larsens Camp Airstrip,small_airport,KE,0.591385,37.586685,,no
KE-0151,Latakweny Airport,small_airport,KE,1.547691,37.108677,,no
KE-0152,Lenchukuti Airport,small_airport,KE,2.243084,36.670897,,no
KE-0153,Lentille Airport,small_airport,KE,0.504473,37.006397,,no
KE-0154,Limuru Airstrip,small_airport,KE,-1.106687,36.688778,,no
KE-0155,Lolomarik Airport,small_airport,KE,0.107106,37.278907,7546.0,no
KE-0156,Longonot Fair Airstrip,small_airport,KE,-0.817141,36.391404,6365.0,no
KE-0157,Lowarengak Airport,small_airport,KE,4.284767,35.870662,,no
KE-0158,Lugard Falls South Airport,small_airport,KE,-3.048705,38.689706,,no
KE-0159,Malinda Estate Airstrip,small_airport,KE,-1.483679,37.098339,,no
KE-0160,Manyani Airport,small_airport,KE,-3.094749,38.476476,,no
KE-0161,Marinyn Airport,small_airport,KE,-0.436316,35.297992,,no
KE-0162,Mawingo Airport,small_airport,KE,-0.043513,37.145448,,no
KE-0163,Mbaruk Airport,small_airport,KE,-0.397362,36.215325,,no
KE-0164,Merti Airstrip,small_airport,KE,1.090173,38.599714,,no
KE-0165,Milmet Airport,small_airport,KE,-0.1115,36.124334,,no
KE-0166,Mount Elgon Orchards Airstrip,small_airport,KE,1.209714,34.796225,,no
KE-0167,Mpala Farm Airstrip,small_airport,KE,0.352756,36.894339,,no
KE-0168,Mpala Research Center Airstrip,small_airport,KE,0.290105,36.892422,,no
KE-0169,Mughwongo Hill Airport,small_airport,KE,0.121521,38.13033,,no
KE-0170,Mukenye Ranch Airstrip,small_airport,KE,0.251711,36.805338,,no
KE-0171,Mutomo Airport,small_airport,KE,-1.846779,38.204732,,no
KE-0172,Mwatate Airport,small_airport,KE,-3.517815,38.442556,2580.0,no
KE-0205,MacAlder Airport,closed,KE,-0.957591,34.306287,4074.0,no
KE-0207,Loisaba Airstrip,small_airport,KE,0.61196,36.800095,5744.0,no
KE-0209,Bahari East Airstrip,small_airport,KE,-2.446286,40.754641,,no
KE-0210,Matangeni East Airstrip,small_airport,KE,-2.447421,40.740016,,no
KE-0213,Former El Wak Airport,closed,KE,2.812043,40.932484,1295.0,no
KE-6002,Laisamis Airport,small_airport,KE,1.578228,37.810502,1866.0,no
KE-6007,Lokori Airport,small_airport,KE,1.968939,36.017375,1990.0,no
KE-6012,Arroket Airport,small_airport,KE,-0.624792,35.065847,5955.0,no
KE-6013,Balesa Airport,small_airport,KE,3.646972,37.350861,2000.0,no
KE-6018,Fig Tree  Airport,small_airport,KE,-1.433867,35.197504,5050.0,no
KE-6019,Head Office Delamere Estates Airport,small_airport,KE,-0.466199,36.191096,6500.0,no
KE-6020,Intona Ranch Airport,small_airport,KE,-1.142494,34.807464,5500.0,no
KE-6021,Karimbuni Airport,closed,KE,-0.802967,36.090611,9300.0,no
KE-6025,Kisima Farm Airport,small_airport,KE,0.112167,37.423262,7800.0,no
KE-6027,Kamok Airstrip,small_airport,KE,0.053588,36.795587,6290.0,no
KE-6028,Kulalu Ranch Airport,small_airport,KE,-3.102921,39.39604,,no
KE-6029,Lubarra Airport,small_airport,KE,-1.2999999523162842,36.95000076293945,6100.0,no
KE-6033,Hagadera Airport,closed,KE,0.00797,40.383176,360.0,no
KE-6034,Lomolo Airport,small_airport,KE,0.028525,35.990654,5200.0,no
KE-6035,Loperot Airport,small_airport,KE,2.345275,35.882778,2011.0,no
KE-6036,Lothagah Airport,small_airport,KE,3.033333,36.049999,1600.0,no
KE-6037,Lotubae Airport,small_airport,KE,2.033008,36.130927,1700.0,no
KE-6040,Menengai Airport,small_airport,KE,-0.229829,36.005713,6650.0,no
KE-6050,Gaitu Airport,small_airport,KE,-0.017893,37.734289,3805.0,no
KE-6058,Didima Bule Airport,closed,KE,-2.369167,39.617584,500.0,no
KE-6061,Komofodo Galana Ranch Airport,small_airport,KE,-2.547635,39.638055,500.0,no
KE-6062,Embori Farm Airport,small_airport,KE,0.07532,37.347636,8666.0,no
KE-6067,Barina Airport,small_airport,KE,-0.12812,36.019289,5600.0,no
KE-6072,Ilkek Airport,small_airport,KE,-0.602639,36.367474,6350.0,no
KE-6074,Maikona Airstrip,small_airport,KE,2.903096,37.476723,,no
KE-6077,Lali Galana Airport,small_airport,KE,-3.083905,39.264749,500.0,no
KE-6079,Kilgoris Airport,small_airport,KE,-1.079585,34.87741,5755.0,no
KE-6082,Kinna Airport,closed,KE,0.316667,38.200001,2211.0,no
KE-6084,Green Park Airport,small_airport,KE,-0.666147,36.311102,6791.0,no
KE-6087,Mara North Conservancy Airstrip,small_airport,KE,-1.14542,35.124922,5500.0,no
KE-6089,Maji Mazuri Airport,small_airport,KE,0.886789,35.19948,6980.0,no
KE-6095,Kilifi Plantation Farm Airport,small_airport,KE,-3.649041,39.85191,3.0,no
KE-6109,Mitunguu Airport,small_airport,KE,-0.111305,37.788594,3100.0,no
KE-6110,Mokowe Airport,small_airport,KE,-2.227678,40.845139,3.0,no
KE-6112,Angama Mara Airport,small_airport,KE,-1.271586,34.954666,6180.0,no
KE-6121,Musiara Airstrip,small_airport,KE,-1.298636,35.063885,5117.0,no
KE-6127,Beverley Airport,small_airport,KE,3.318857,37.064294,1187.0,no
KE-6208,Mara-Olkiombo Airport,small_airport,KE,-1.408586,35.110689,5011.0,no
KE-6320,Laikipia Ranch Airport,small_airport,KE,0.58256,36.432993,6100.0,no
KE-6394,Lunga-Lunga Airport,small_airport,KE,-4.52864,39.152237,193.0,no
KE-6396,Maralal Airport,closed,KE,1.098487,36.695144,6450.0,no
KE-6557,Kakuma Airport,small_airport,KE,3.705094,34.871293,1906.0,no
KE-6596,Kajiado Airport,small_airport,KE,-1.823809,36.787012,5603.0,no
KE-6646,Marrian's Airport,small_airport,KE,-0.3405900001525879,36.91352462768555,6400.0,no
KE-6656,Banisa Airport,small_airport,KE,3.897056,40.320253,2998.0,no
KE-6873,George Smith Farm Airport,small_airport,KE,0.610893,35.282059,6880.0,no
KE-6883,Fairmont Airstrip,small_airport,KE,-0.045436,37.129827,7020.0,no
KE-6888,Kapsumbeiwa Airstrip,small_airport,KE,0.128564,35.221267,1750.0,no
KE-6890,Baragoi Airport,small_airport,KE,1.779485,36.805969,4202.0,no
KE-6893,Changoi Tea Estate Airport,small_airport,KE,-0.479808,35.244578,6100.0,no
KE-6894,Borana Airport,small_airport,KE,0.232462,37.28041,6100.0,no
KE-6907,Kambi Ya Samaki Airport,closed,KE,-2.319434,37.915699,3093.0,no
KE-6920,Masalani (Fanjaa) Airport,closed,KE,-1.695655,40.125721,150.0,no
KE-6924,Mado Gashi Airport,small_airport,KE,0.720061,39.179998,1000.0,no
KE-6937,Lokichar Airport,small_airport,KE,2.388521,35.648423,2440.0,no
KE-6946,Kapenguria (Kishaunet) Airport,small_airport,KE,1.273083,35.0681,6482.0,no
KE-6951,Hulugho Airport,small_airport,KE,-1.148785,41.046531,490.0,no
KE-6957,Aruba Airport,small_airport,KE,-3.342235,38.814481,1300.0,no
KE-6978,Kerio Valley Airport,small_airport,KE,0.317916,35.664712,4325.0,no
KE-6996,Kapchomuswo (Kabarnet) Airport,small_airport,KE,0.536848,35.728044,6205.0,no
KE-6997,Busia Airport,small_airport,KE,0.454903,34.130728,3989.0,no
KE-6998,Bungoma Airport,small_airport,KE,0.577324,34.555384,4726.0,no
KE-6999,Eldoret Boma Airport,small_airport,KE,0.536926,35.280518,7050.0,no
KE-7001,Magadi Airport,small_airport,KE,-1.947953,36.279916,1955.0,no
KE-7002,Mackinnon Road Airport,small_airport,KE,-3.730548,39.039413,1446.0,no
KE-7003,Mtito Andei Airport,small_airport,KE,-2.713806,38.195006,2397.0,no
KE-7004,Embakasi Airport,closed,KE,-1.298219,36.915546,5357.0,no
KE-7006,Il Ngwesi Airstrip,small_airport,KE,0.359715,37.354913,,no
KE-7007,Kilalinda North Airstrip,small_airport,KE,-2.609847,38.345523,,no
KE-7008,Kathekani East Airstrip,small_airport,KE,-2.596273,38.342404,,no
KE-7011,Iltilal Airstrip,small_airport,KE,-2.89335,37.877737,,no
KE-7012,Galana West Airport,small_airport,KE,-3.069086,39.226745,,no
KE-7013,Black Rhino Airstrip,small_airport,KE,-3.048654,38.631847,,no
KE-7017,Kapese Airstrip,small_airport,KE,2.368708,35.716184,,no
KE-7018,Barsalinga Airstrip,small_airport,KE,0.804492,37.149584,,no
KE-7020,Chagaik Airstrip,small_airport,KE,-0.341416,35.337411,6856.0,no
KE-KIU,Kiunga Airport,small_airport,KE,-1.741272,41.482707,1.0,no
KE-LBK,Liboi Airport,small_airport,KE,0.348333,40.881699,280.0,no
KE-LKU,Lake Rudolf Airport,closed,KE,3.416256,35.885468,1300.0,no
KE-MUM,Mumias Airport,small_airport,KE,0.355399,34.528234,4163.0,no
KWY,Kiwayu Airport,medium_airport,KE,-1.960644,41.297156,21.0,no
MYS,Moyale Airport,small_airport,ET,3.5623,39.0433,3887.0,no
RW-0001,Gako Airport,small_airport,RW,-2.2308,30.1809,4770.0,no
RW-0002,Bugesera International Airport (under construction),closed,RW,-2.1444,30.1835,4630.0,no
SO-0001,K50 Airstrip,small_airport,SO,2.00528,44.986599,100.0,yes
SO-0002,Baledogle Airfield,small_airport,SO,2.670742,44.792897,297.0,no
SO-0004,Hafun Airstrip,small_airport,SO,10.445,51.2466,35.0,no
SO-0005,Hafun Old Base Airstrip,small_airport,SO,10.4154,51.3256,555.0,no
SO-0006,Buurdhuubo Airstrip,small_airport,SO,3.157458,42.525189,,no
SO-0007,Dhoobley Airstrip,small_airport,SO,0.399533,40.99606,,no
SO-0008,Las Khorey Airport,small_airport,SO,11.17348,48.21426,,no
SO-0010,Bandarbeyla Airport,small_airport,SO,9.4603,50.7416,,no
SO-0011,Garacad Airport,small_airport,SO,6.8773,49.2476,,no
SO-0012,Ceeldheer Airport,closed,SO,3.84182,47.16841,,no
SO-0013,Dayniile Airport,small_airport,SO,2.122039,45.268856,,no
SO-0014,Merca Airport,closed,SO,1.63274,44.64865,,no
SO-0015,Baraawe Airport,small_airport,SO,1.09438,43.99532,,no
SO-0016,Jamaame Airstrip,small_airport,SO,0.05754,42.755045,,no
SO-0017,Afmadow Airport,small_airport,SO,0.53769,42.05637,79.0,no
SO-0018,Bu'aale Airfield,small_airport,SO,1.26821,42.58794,200.0,no
SO-0019,Doolow Airport,small_airport,SO,4.1493,42.08119,625.0,no
SO-0020,Guriel Airport,small_airport,SO,5.317412,45.985308,,no
SO-0021,Cisaleey Airport,closed,SO,2.116992,45.4886,29.0,no
SO-BXX,Borama Airport,small_airport,SO,9.9463,43.1495,,no
TZ-0001,Mtera Airport,small_airport,TZ,-7.095895,35.977423,2399.0,no
TZ-0002,Manyoni North Airport,small_airport,TZ,-5.72119,34.838487,4080.0,no
TZ-0003,Mbinga Airport,small_airport,TZ,-10.96399974822998,35.01179885864258,4335.0,no
TZ-0005,Mvumi Airport,small_airport,TZ,-6.376389,35.898611,3445.0,no
TZ-0006,Kasulu Airport,small_airport,TZ,-4.549167,30.102222,4175.0,no
TZ-0008,Maswa Airstrip,small_airport,TZ,-3.186741,33.792056,4196.0,no
TZ-0009,Biharamulo Airport,small_airport,TZ,-2.663273,31.36515,4723.0,no
TZ-0010,Manyoni Airport,small_airport,TZ,-5.758501,34.799656,4084.0,no
TZ-0011,Liwale Airport,small_airport,TZ,-9.796886,37.870732,,no
TZ-0012,Ifakara Airport,small_airport,TZ,-8.064876,36.698112,,no
TZ-0013,Mkwaja Airport,small_airport,TZ,-5.719283,38.828465,,no
TZ-0014,Mbamba Bay Airport,small_airport,TZ,-11.303451,34.842717,,no
TZ-0015,Iku Airport,small_airport,TZ,-6.908626,31.166407,,no
TZ-0017,Jongomeru Airport,small_airport,TZ,-7.894934,34.580821,3000.0,no
TZ-0018,Kogatende Airstrip,small_airport,TZ,-1.568396,34.886933,,no
TZ-0019,Limai Airport,closed,TZ,-2.269407,34.023569,,no
TZ-0020,Lobo Airstrip,small_airport,TZ,-2.009865,35.159105,5500.0,no
TZ-0021,Mpululu Airport,small_airport,TZ,-7.042659,34.724101,,no
TZ-0026,Fort Ikoma Airport,small_airport,TZ,-2.080103,34.62952,4412.0,no
TZ-0027,Kuro Airport,small_airport,TZ,-4.007918,36.076105,,no
TZ-0028,Msembe Airport,small_airport,TZ,-7.684811,34.922282,2500.0,no
TZ-0029,Magangwe Airport,small_airport,TZ,-7.719942,34.226726,,no
TZ-0030,Beho Beho Airstrip,small_airport,TZ,-7.666746,37.927229,393.0,no
TZ-0031,Boma Ulanga Airstrip,small_airport,TZ,-8.188467,36.91211,,no
TZ-0032,Buturi Airport,small_airport,TZ,-3.199844,34.436504,4730.0,no
TZ-0033,Fish Eagle Airport,small_airport,TZ,-4.805057,31.276613,3300.0,no
TZ-0034,Isanga Airport,small_airport,TZ,-7.527162,33.884071,,no
TZ-0035,Kifura Airstrip,small_airport,TZ,-3.838092,30.640202,4389.0,no
TZ-0036,Kihurumila Airport,small_airport,TZ,-9.0411,38.273756,,no
TZ-0037,Luhanyando Airoprt,small_airport,TZ,-9.447883,36.848932,,no
TZ-0038,Manane Airport,closed,TZ,-8.206858,36.959834,,no
TZ-0039,Matambwe Airport,small_airport,TZ,-7.528887,37.76201,585.0,no
TZ-0040,Matambwe Old Airport,closed,TZ,-7.535478,37.776384,,no
TZ-0041,Mbunga Airport,small_airport,TZ,-8.978724,36.869154,,no
TZ-0042,Mkangira Airport,small_airport,TZ,-8.958151,37.338793,,no
TZ-0043,Mkomazi-Kisima Airport,small_airport,TZ,-4.079592,38.086684,,no
TZ-0044,Mkuyu Airport,small_airport,TZ,-9.966951,36.878941,,no
TZ-0045,Mlembwe Airport,small_airport,TZ,-9.426932,37.519672,,no
TZ-0046,Mpunde Airport,small_airport,TZ,-6.259359,33.619996,,no
TZ-0047,Mtemaupinde Airport,small_airport,TZ,-11.206844,38.162974,,no
TZ-0048,Mtemere Airport,small_airport,TZ,-7.750093,38.208474,216.0,no
TZ-0049,Muhuba Airport,small_airport,TZ,-5.770289,31.721521,,no
TZ-0050,Mwambesi Airport,small_airport,TZ,-11.61227,37.564572,1000.0,no
TZ-0056,Alliance Airstrip,small_airport,TZ,-2.602346,33.676018,3800.0,no
TZ-0057,Birise Airport,small_airport,TZ,-5.428612,35.166079,4250.0,no
TZ-0058,Bulyanhulu Airport,small_airport,TZ,-3.2292,32.473316,3944.0,no
TZ-0059,Chidudu Airport,small_airport,TZ,-6.565131,35.1737,3670.0,no
TZ-0060,Endanyawish Airport,small_airport,TZ,-3.711702,35.270623,4350.0,no
TZ-0061,Golden Pride Mines Airport,small_airport,TZ,-4.080354,33.160212,3789.0,no
TZ-0062,Gorimba Airport,small_airport,TZ,-4.837753,35.366121,4660.0,no
TZ-0063,Gua Airport,small_airport,TZ,-7.868375,32.48466,,no
TZ-0064,Handa Airport,small_airport,TZ,-4.954854,35.323672,4150.0,no
TZ-0065,Harbanget Airport,small_airport,TZ,-3.868369,35.396409,5500.0,no
TZ-0066,Haidom Airport,small_airport,TZ,-4.198626,35.018655,5750.0,no
TZ-0067,Ibanda Airport,small_airport,TZ,-1.074975,30.51758,4300.0,no
TZ-0068,Ifunda Farm Airstrip,small_airport,TZ,-8.065451,35.430749,5744.0,no
TZ-0069,Kagera Sugar Airport,small_airport,TZ,-1.233641,31.327325,3830.0,no
TZ-0070,Kapalagulu Airport,small_airport,TZ,-5.904938,30.082868,3500.0,no
TZ-0071,Kapenta Airport,small_airport,TZ,-8.357716,32.103045,2810.0,no
TZ-0072,Ihanda Airstrip,small_airport,TZ,-1.552361,31.104871,4900.0,no
TZ-0073,Kibebe Airport,small_airport,TZ,-7.797941,35.762345,4725.0,no
TZ-0074,Kibidula Airport,small_airport,TZ,-8.412202,35.094073,6281.0,no
TZ-0075,Kihansi Airport,small_airport,TZ,-8.653119,35.865055,957.0,no
TZ-0076,Kilombero Airport,small_airport,TZ,-7.687751,36.986496,984.0,no
TZ-0077,Kilumbi Airport,small_airport,TZ,-6.32536,34.173759,4540.0,no
TZ-0078,Kishoshoroni Airport,small_airport,TZ,-2.015174,35.273109,6100.0,no
TZ-0079,Kitumbeine Airport,small_airport,TZ,-2.820447,36.323156,,no
TZ-0080,Kwajoni Airport,small_airport,TZ,-5.512166,38.965097,15.0,no
TZ-0081,Lolmorijoi Airport,small_airport,TZ,-4.549415,37.024381,3800.0,no
TZ-0082,Lualanje Airport,small_airport,TZ,-7.918083,33.552315,,no
TZ-0083,Lugonesi Airport,small_airport,TZ,-6.15954,30.298705,5200.0,no
TZ-0084,Lukwati Airport,small_airport,TZ,-7.599608,32.3072,4000.0,no
TZ-0085,Maboxi Airport,small_airport,TZ,-8.391651,37.168761,,no
TZ-0086,Madaba Airport,small_airport,TZ,-8.643293,37.673992,1040.0,no
TZ-0087,Mahaka Airport,small_airport,TZ,-6.135581,35.049797,2740.0,no
TZ-0088,Makau Airport,small_airport,TZ,-3.367409,34.824166,5131.0,no
TZ-0089,Malagarasi Airport,small_airport,TZ,-4.793813,30.712949,3819.0,no
TZ-0090,Mamarehe Airport,small_airport,TZ,-2.657814,34.394518,4750.0,no
TZ-0091,Mashado Airport,small_airport,TZ,-5.470712,38.955266,200.0,no
TZ-0092,Masimba Airport,small_airport,TZ,-7.267927,34.218247,,no
TZ-0093,Matemanga Airport,small_airport,TZ,-10.763142,36.953222,2700.0,no
TZ-0094,Matipwili Airport,small_airport,TZ,-6.248936,38.678104,85.0,no
TZ-0095,Mbarali Airport,small_airport,TZ,-8.656494,34.273113,3432.0,no
TZ-0096,Mbono 2 Airport,small_airport,TZ,-3.11141,34.660824,5320.0,no
TZ-0097,Buhemba Airport,small_airport,TZ,-1.774223,34.098139,4534.0,no
TZ-0098,Mchukwi Rufiji Airport,small_airport,TZ,-7.772857,39.019695,450.0,no
TZ-0099,Merugoi Airport,small_airport,TZ,-2.723808,36.135783,3700.0,no
TZ-0100,Mlambala Airport,small_airport,TZ,-7.233234,32.063351,3278.0,no
TZ-0101,Mlele Ram Airport,small_airport,TZ,-6.784087,31.367951,3300.0,no
TZ-0102,Mngeta Airport,small_airport,TZ,-8.364091,36.103211,,no
TZ-0103,Mountain Side Airport,small_airport,TZ,-2.878109,37.135211,6200.0,no
TZ-0104,Msima 1 Airport,small_airport,TZ,-6.339313,31.849913,3710.0,no
TZ-0105,Msima 2 Airport,small_airport,TZ,-5.839096,31.459827,3600.0,no
TZ-0106,Mtibwa Airport,small_airport,TZ,-6.148889,37.661551,1234.0,no
TZ-0107,Muhesi Airport,small_airport,TZ,-6.139352,34.464442,4300.0,no
TZ-0108,Murungu Airport,small_airport,TZ,-4.185382,31.293522,3300.0,no
TZ-0121,Bushman Airstrip,small_airport,TZ,-9.17479,35.966534,1021.0,no
TZ-0122,Gelai East Airport,small_airport,TZ,-2.476768,36.25761,3200.0,no
TZ-0123,Klein's Camp Airport,small_airport,TZ,-1.775438,35.278282,6300.0,no
TZ-0124,Lamai Airport,small_airport,TZ,-1.561738,34.702039,4410.0,no
TZ-0125,Lugala Airport,small_airport,TZ,-8.916494,36.126593,943.0,no
TZ-0126,Luwegu Airport,small_airport,TZ,-9.022345,37.289976,500.0,no
TZ-0127,Lwafi Airport,small_airport,TZ,-6.982929,30.894894,3600.0,no
TZ-0128,Makwasa Airport,small_airport,TZ,-6.817874,34.218918,4000.0,no
TZ-0129,Masusu Airport,small_airport,TZ,-2.272545,35.808636,4000.0,no
TZ-0130,Mikindani Airport,small_airport,TZ,-10.256118,40.093869,136.0,no
TZ-0131,Mlele Airport,small_airport,TZ,-7.119408,31.839151,3500.0,no
TZ-0132,Mugumu Airport,small_airport,TZ,-1.870455,34.645517,5172.0,no
TZ-0138,Kasense Airport,small_airport,TZ,-5.784903,31.355212,3000.0,no
TZ-0139,Mawemeru Airport,small_airport,TZ,-3.111222,32.21536,4000.0,no
TZ-0140,Buckreef Airport,small_airport,TZ,-3.095158,32.019562,4017.0,no
TZ-0144,Milambi Airport,small_airport,TZ,-1.40561,30.74995,4279.0,no
TZ-0145,Msalato International Airport (under construction),closed,TZ,-6.072077,35.793523,3580.0,no
TZ-GIT,Mchauru Airport,small_airport,TZ,-2.813667,32.172472,3955.0,no
UG-0001,Kisoro Airport,small_airport,UG,-1.2837,29.7197,6200.0,yes
UG-0003,Mutukula Airport,small_airport,UG,-0.9273,31.4417,3820.0,no
UG-0005,Koboko Airport,small_airport,UG,3.409147,30.969793,,no
UG-0006,Kalongo Airport,small_airport,UG,3.044704,33.379279,,no
UG-0007,Chobe Safari Lodge Airport,small_airport,UG,2.239199,32.14468,3140.0,no
UG-0008,Matany Airstrip,small_airport,UG,2.449456,34.396493,3895.0,no
UG-0009,Lake Albert Lodge Airstrip,small_airport,UG,1.47099,30.93749,,no
UG-0010,Buhuka Airport,small_airport,UG,1.246181,30.747939,,no
UG-0011,Buseruka Airport,small_airport,UG,1.555726,31.094862,,no
UG-0012,Butiaba Airport,small_airport,UG,1.80863,31.342983,,no
UG-0013,Kabalega International Airport (Under Construction),closed,UG,1.44327,31.07396,3510.0,no
UG-0014,Bukasa Airport,small_airport,UG,-0.40721,32.50876,,no
UG-0015,Bulago Airport,small_airport,UG,-0.02421,32.66506,,no
UG-0016,Kayonza Airport,small_airport,UG,-0.862163,29.639553,3800.0,no
UG-0017,Kololo Airstrip,closed,UG,0.3262,32.594,3939.0,no
UG-0018,Kibimba Airstrip,small_airport,UG,0.517315,33.877112,,no
UG-OYG,Moyo Airport,small_airport,UG,3.6444,31.762762,3250.0,no
